event,iso,notional,pnl,price,qty,ts
DCA,2026-03-02T16:30:00Z,96.34197954291024,,33.083,2.912129478672135,1772469000000
DCA,2026-03-02T16:34:00Z,143.9844178139864,,32.962,4.3681942180082025,1772469240000
FULL_CLOSE_TRAIL,2026-03-02T16:42:00Z,,4.992845991183368,33.573,10.192453175352473,1772469720000
FIRST,2026-03-02T16:44:00Z,97.61649129742422,,33.488,2.9149692814567674,1772469840000
DCA,2026-03-02T16:54:00Z,97.1675860280799,,33.334,2.9149692814567674,1772470440000
DCA,2026-03-02T16:56:00Z,145.2266845714576,,33.214,4.3724539221851515,1772470560000
DCA,2026-03-02T17:02:00Z,265.1106262099301,,33.072,8.01616552400611,1772470920000
FULL_CLOSE_TRAIL,2026-03-03T05:16:00Z,,3.724601999381305,33.419,18.218558009104797,1772514960000
FIRST,2026-03-03T05:18:00Z,98.11531022706816,,33.428,2.9351235559132514,1772515080000
DCA,2026-03-03T05:30:00Z,97.77190077102631,,33.311,2.9351235559132514,1772515800000
DCA,2026-03-03T05:34:00Z,146.26160947649117,,33.221,4.4026853338698775,1772516040000
DCA,2026-03-03T05:48:00Z,266.5561808538178,,33.024,8.07158977876144,1772516880000
FULL_CLOSE_TRAIL,2026-03-09T14:38:00Z,,3.3966717350805773,33.367,18.34452222445782,1773067080000
FIRST,2026-03-09T14:40:00Z,98.5611131707297,,33.247,2.9645114798547145,1773067200000
DCA,2026-03-09T14:50:00Z,98.2201943505464,,33.132,2.9645114798547145,1773067800000
DCA,2026-03-09T14:56:00Z,146.67216997729187,,32.984,4.446767219782072,1773068160000
DCA,2026-03-09T15:10:00Z,267.83916543765366,,32.854,8.152406569600466,1773069000000
FULL_CLOSE_TRAIL,2026-03-09T16:22:00Z,,14.68248423185038,33.785,18.52819674909197,1773073320000
FIRST,2026-03-09T16:24:00Z,100.81132922621742,,34.251,2.9433105376840802,1773073440000
DCA,2026-03-09T16:26:00Z,99.2278281569434,,33.713,2.9433105376840802,1773073560000
DCA,2026-03-09T16:26:00Z,148.8417422354151,,33.713,4.41496580652612,1773073560000
DCA,2026-03-09T16:28:00Z,272.20471680136797,,33.63,8.094103978631221,1773073680000
FULL_CLOSE_TRAIL,2026-03-09T16:54:00Z,,6.244233305696696,34.102,18.3956908605255,1773075240000
FIRST,2026-03-09T16:56:00Z,101.71053331783725,,34.079,2.9845515806754084,1773075360000
DCA,2026-03-09T17:18:00Z,101.42700091767308,,33.984,2.9845515806754084,1773076680000
DCA,2026-03-09T17:36:00Z,151.59880526461703,,33.863,4.476827371013113,1773077760000
FULL_CLOSE_TRAIL,2026-03-09T17:54:00Z,,4.321630688817961,34.373,10.44593053236393,1773078840000
FIRST,2026-03-09T17:56:00Z,102.344890683273,,34.357,2.978865753216899,1773078960000
DCA,2026-03-09T18:00:00Z,102.05891957096418,,34.261,2.978865753216899,1773079200000
DCA,2026-03-09T18:06:00Z,152.43600775649176,,34.115,4.468298629825348,1773079560000
DCA,2026-03-09T18:10:00Z,277.2623982792927,,33.846,8.191880821346473,1773079800000
FULL_CLOSE_TRAIL,2026-03-09T18:30:00Z,,5.6650579461802435,34.363,18.61791095760562,1773081000000
FIRST,2026-03-09T18:32:00Z,103.14939039541973,,34.013,3.0326460587251853,1773081120000
FULL_CLOSE_TRAIL,2026-03-09T18:36:00Z,,0.6853780092718891,34.239,3.0326460587251853,1773081360000
FIRST,2026-03-09T18:38:00Z,103.2424921441992,,34.124,3.0255096748387995,1773081480000
DCA,2026-03-09T18:54:00Z,102.81892078972177,,33.984,3.0255096748387995,1773082440000
DCA,2026-03-09T18:56:00Z,153.91524093323682,,33.915,4.538264512258199,1773082560000
FULL_CLOSE_TRAIL,2026-03-09T19:04:00Z,,2.1027292240129345,34.193,10.589283861935797,1773083040000
FIRST,2026-03-09T19:06:00Z,103.52116433708461,,34.132,3.0329650866367226,1773083160000
FULL_CLOSE_TRAIL,2026-03-09T19:18:00Z,,0.5823292966342513,34.324,3.0329650866367226,1773083880000
FIRST,2026-03-09T19:20:00Z,103.59772705190842,,34.424,3.0094622081079603,1773084000000
DCA,2026-03-09T19:32:00Z,103.18543072939764,,34.287,3.0094622081079603,1773084720000
DCA,2026-03-09T19:40:00Z,153.87530743166408,,34.087,4.51419331216194,1773085200000
DCA,2026-03-09T20:00:00Z,281.18609195235916,,33.976,8.27602107229689,1773086400000
FULL_CLOSE_TRAIL,2026-03-09T21:12:00Z,,10.11781194365894,34.662,18.809138800674752,1773090720000
FIRST,2026-03-09T21:14:00Z,105.11307240879191,,34.746,3.0251848387955995,1773090840000
DCA,2026-03-09T21:20:00Z,104.77727689168559,,34.635,3.0251848387955995,1773091200000
FULL_CLOSE_TRAIL,2026-03-09T21:30:00Z,,1.473265016493441,34.934,6.050369677591199,1773091800000
FIRST,2026-03-09T21:32:00Z,105.31509449434147,,34.84,3.0228213115482623,1773091920000
FULL_CLOSE_TRAIL,2026-03-09T21:52:00Z,,1.2665621295387126,35.259,3.0228213115482623,1773093120000
FIRST,2026-03-09T21:54:00Z,105.5007926949782,,35.338,2.985477183060111,1773093240000
DCA,2026-03-09T21:56:00Z,104.9096682127323,,35.14,2.985477183060111,1773093360000
DCA,2026-03-09T22:02:00Z,156.99281040980748,,35.057,4.478215774590167,1773093720000
DCA,2026-03-09T22:38:00Z,286.6625336402488,,34.916,8.210062253415305,1773095880000
FULL_CLOSE_TRAIL,2026-03-11T12:18:00Z,,5.33280861824111,35.339,18.659232394125695,1773231480000
FIRST,2026-03-11T12:20:00Z,106.24896492041407,,35.503,2.9926756871366944,1773231600000
FULL_CLOSE_TRAIL,2026-03-11T13:08:00Z,,1.346704059211521,35.953,2.9926756871366944,1773234480000
FIRST,2026-03-11T13:10:00Z,106.4473299991759,,35.916,2.9637857779033276,1773234600000
FULL_CLOSE_TRAIL,2026-03-11T13:22:00Z,,0.9721217351523003,36.244,2.9637857779033276,1773235320000
FIRST,2026-03-11T13:24:00Z,106.5857601342616,,36.041,2.9573474691118897,1773235440000
DCA,2026-03-11T13:26:00Z,106.0830110645126,,35.871,2.9573474691118897,1773235560000
DCA,2026-03-11T13:28:00Z,158.84948328214148,,35.809,4.436021203667835,1773235680000
FULL_CLOSE_TRAIL,2026-03-11T13:40:00Z,,2.1322475252296518,36.099,10.350716141891613,1773236400000
FIRST,2026-03-11T13:42:00Z,106.86730623777937,,35.887,2.9778835299071913,1773236520000
DCA,2026-03-11T13:44:00Z,106.49507079654097,,35.762,2.9778835299071913,1773236640000
FULL_CLOSE_TRAIL,2026-03-11T14:00:00Z,,2.111319422704208,36.179,5.955767059814383,1773237600000
FIRST,2026-03-11T14:02:00Z,107.17081045953275,,36.294,2.952851999215649,1773237720000
DCA,2026-03-11T14:04:00Z,106.43555031172806,,36.045,2.952851999215649,1773237840000
DCA,2026-03-11T14:04:00Z,159.65332546759208,,36.045,4.429277998823473,1773237840000
FULL_CLOSE_TRAIL,2026-03-11T14:36:00Z,,5.372714212572898,36.636,10.33498199725477,1773239760000
FIRST,2026-03-11T14:38:00Z,107.97029336660918,,36.881,2.927531611578026,1773239880000
DCA,2026-03-11T14:40:00Z,107.57507659904616,,36.746,2.927531611578026,1773240000000
DCA,2026-03-11T14:50:00Z,160.42726854867004,,36.533,4.391297417367039,1773240600000
DCA,2026-03-11T15:30:00Z,291.8946625127074,,36.257,8.050711931839572,1773243000000
FULL_CLOSE_TRAIL,2026-03-11T17:28:00Z,,4.092689192986111,36.725,18.297072572362666,1773250080000
FIRST,2026-03-11T17:30:00Z,108.5179374541872,,36.73,2.9544769249710647,1773250200000
DCA,2026-03-11T17:32:00Z,108.09840173084132,,36.588,2.9544769249710647,1773250320000
DCA,2026-03-11T17:34:00Z,161.34546211113232,,36.407,4.431715387456597,1773250440000
DCA,2026-03-11T17:42:00Z,294.7112891235575,,36.273,8.124811543670429,1773250920000
FULL_CLOSE_TRAIL,2026-03-12T00:50:00Z,,3.791332513969121,36.634,18.465480781069154,1773276600000
