error,elapsed_sec,score,param,value,stage_idx,stage_mode
"ValueError(""could not convert string to float: ''"")",0.00017309188842773438,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.024999999999999994|0.024614999999999998|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",9.393692016601562e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.024999999999999994|0.024614999999999998|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0002682209014892578,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.024999999999999994|0.032115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00023412704467773438,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.024999999999999994|0.032115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00017452239990234375,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.024999999999999994|0.032115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.002749204635620117,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0375|0.017115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0002923011779785156,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0375|0.017115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.00014472007751464844,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0375|0.017115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",9.059906005859375e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0375|0.024614999999999998|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",8.749961853027344e-05,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0375|0.024614999999999998|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0003390312194824219,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0375|0.024614999999999998|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0011987686157226562,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0375|0.032115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0002276897430419922,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0375|0.032115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0003409385681152344,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.41000000000000003|0.0375|0.032115|16.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0019314289093017578,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.45|0.0125|0.017115|8.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0008816719055175781,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.45|0.0125|0.017115|12.0,11,grid
"ValueError(""could not convert string to float: ''"")",0.0002186298370361328,-1e+30,strategy_params_long.tpPercent|strategy_params_long.subSellTPPercent|strategy_params_long.callbackPercent|strategy_params_long.linearDropPercent|strategy_params_long.trendMaLen,0.26|0.45|0.0125|0.017115|16.0,11,grid
