symbol,bars,equity_end_realized,realized_pnl,return_pct,trades,win_rate_pct,profit_factor,mdd_realized_pct,mdd_mtm_pct
FIO/USDT:USDT,500,100.29259598536251,0.2925959853625102,0.2925959853625093,32,100.0,0.0,0.0,-1.1055849284850463
CHESS/USDT:USDT,500,100.2919998496117,0.2919998496116989,0.29199984961170156,33,100.0,0.0,0.0,-1.8621927272282666
CATI/USDT:USDT,500,100.29079239705368,0.29079239705367854,0.2907923970536741,27,100.0,0.0,0.0,-2.7079324848658564
EPT/USDT:USDT,500,100.29000231651936,0.29000231651936303,0.2900023165193666,33,100.0,0.0,0.0,-1.0017416108094872
LRC/USDT:USDT,500,100.28964996491115,0.289649964911149,0.2896499649111428,31,100.0,0.0,0.0,-1.3960936111910094
NEAR/USDC:USDC,500,100.28870473968257,0.28870473968257215,0.28870473968256594,36,100.0,0.0,0.0,-1.4689581359965243
VIC/USDT:USDT,500,100.28853512398359,0.2885351239835927,0.28853512398359094,33,100.0,0.0,0.0,-1.083405902472306
SUI/USDC:USDC,500,100.28843206495888,0.28843206495888296,0.28843206495887674,35,100.0,0.0,0.0,-1.6348342075094315
KSM/USDT:USDT,500,100.28812451030247,0.2881245103024668,0.28812451030246766,33,100.0,0.0,0.0,-2.084257269249466
ICP/USDT:USDT,500,100.28795071616865,0.28795071616865187,0.2879507161686501,34,100.0,0.0,0.0,-1.2446746136668272
NOT/USDC:USDC,500,100.28794922651574,0.2879492265157353,0.28794922651573795,33,100.0,0.0,0.0,-2.294020793272629
PERP/USDT:USDT,500,100.28697663257128,0.2869766325712817,0.2869766325712897,34,100.0,0.0,0.0,-1.9772479381854378
GUN/USDT:USDT,500,100.28500317648194,0.2850031764819363,0.28500317648194606,33,100.0,0.0,0.0,-1.2371029057691687
RDNT/USDT,500,100.28345327013862,0.2834532701386223,0.28345327013861166,36,100.0,0.0,0.0,-1.7992677475142094
FRAG/USDT:USDT,500,100.28128116590516,0.28128116590515617,0.28128116590515617,33,100.0,0.0,0.0,-0.8146365086295759
SUI/USDT:USDT,500,100.28070040195203,0.28070040195203205,0.2807004019520276,34,100.0,0.0,0.0,-1.6795611802521582
WCT/USDT:USDT,500,100.27976683465887,0.2797668346588722,0.27976683465886776,29,100.0,0.0,0.0,-3.634191598109763
ONDO/USDT:USDT,500,100.27940816090447,0.27940816090446674,0.27940816090445963,36,100.0,0.0,0.0,-1.2232727569103128
ONDO/USDC:USDC,500,100.27790892998371,0.27790892998370964,0.27790892998371675,34,100.0,0.0,0.0,-1.311428657858861
NOT/USDT:USDT,500,100.27779400409723,0.2777940040972311,0.27779400409722044,34,100.0,0.0,0.0,-2.114851064443215
G/USDT:USDT,500,100.27612965955522,0.27612965955522384,0.2761296595552132,22,100.0,0.0,0.0,-1.5533312622297073
TNSR/USDT:USDT,500,100.27566526803369,0.2756652680336913,0.27566526803368685,32,100.0,0.0,0.0,-1.5133736164475629
RVN/USDT:USDT,500,100.27369632045917,0.27369632045916603,0.27369632045917136,34,100.0,0.0,0.0,-1.9891650046765792
BLUR/USDT:USDT,500,100.27194477904459,0.27194477904458836,0.27194477904459724,33,100.0,0.0,0.0,-1.4996239278083368
GMT/USDT:USDT,500,100.27188820128491,0.2718882012849093,0.27188820128492,32,100.0,0.0,0.0,-1.216006695683235
MBOX/USDT:USDT,500,100.27055730731948,0.27055730731947847,0.2705573073194856,40,100.0,0.0,0.0,-2.6180268525592303
QUICK/USDT:USDT,500,100.2705567955849,0.27055679558489487,0.27055679558489754,38,100.0,0.0,0.0,-1.3892298715065374
LUMIA/USDT:USDT,500,100.26954455880562,0.2695445588056202,0.26954455880561223,33,100.0,0.0,0.0,-3.03657154272124
MANA/USDT:USDT,500,100.26954200160208,0.2695420016020762,0.2695420016020744,33,100.0,0.0,0.0,-1.7098555007790246
BANANAS31/USDT:USDT,500,100.26874966022575,0.2687496602257511,0.2687496602257422,24,100.0,0.0,0.0,-0.7872980925661835
DOT/USDT:USDT,500,100.26771765711483,0.2677176571148294,0.26771765711481876,34,100.0,0.0,0.0,-1.584733343291804
KAS/USDT:USDT,500,100.26696261081571,0.2669626108157104,0.26696261081571304,38,100.0,0.0,0.0,-0.8883119784892141
TLM/USDT:USDT,500,100.26658793294932,0.2665879329493208,0.2665879329493137,36,100.0,0.0,0.0,-2.2564764796988492
ASTR/USDT:USDT,500,100.26621458998652,0.26621458998651804,0.26621458998652425,30,100.0,0.0,0.0,-2.568277609095273
MOVE/USDT:USDT,500,100.26596741612248,0.26596741612247854,0.2659674161224812,32,100.0,0.0,0.0,-1.2649246458582417
JTO/USDT:USDT,500,100.26554874465687,0.2655487446568685,0.26554874465687384,37,100.0,0.0,0.0,-2.6938796106589615
VTHO/USDT:USDT,500,100.26447530390037,0.2644753039003689,0.2644753039003689,30,100.0,0.0,0.0,-1.2934632756792381
ICX/USDT:USDT,500,100.26429550287308,0.26429550287308246,0.2642955028730798,28,100.0,0.0,0.0,-1.5155237892653817
B3/USDT:USDT,500,100.26340078196677,0.26340078196676586,0.26340078196676053,36,100.0,0.0,0.0,-1.2628001134844116
BDXN/USDT:USDT,500,100.26255844406982,0.26255844406982476,0.2625584440698159,33,100.0,0.0,0.0,-1.9106689183493533
SSV/USDT:USDT,500,100.26203384402731,0.26203384402731444,0.26203384402732066,28,100.0,0.0,0.0,-5.619424792058844
CRV/USDT:USDT,500,100.26137665923073,0.2613766592307343,0.2613766592307387,26,100.0,0.0,0.0,-0.8830398299380825
CAKE/USDT:USDT,500,100.26072532663743,0.2607253266374272,0.2607253266374343,33,100.0,0.0,0.0,-1.6284658351426173
ETH/USDC:USDC,500,100.26053536328558,0.2605353632855838,0.2605353632855856,31,100.0,0.0,0.0,-1.7425130206881652
EGLD/USDT:USDT,500,100.26039986115708,0.260399861157083,0.26039986115709013,34,100.0,0.0,0.0,-1.5703295045963857
ATH/USDT:USDT,500,100.25813256821597,0.2581325682159701,0.258132568215963,30,100.0,0.0,0.0,-1.3179877995360034
ERA/USDT:USDT,500,100.25758568875034,0.25758568875033916,0.25758568875033916,28,100.0,0.0,0.0,-0.7514597415791061
ETH/USDT:USDT,500,100.2574592169939,0.25745921699389385,0.25745921699389385,31,100.0,0.0,0.0,-1.7509701878823785
QNT/USDT:USDT,500,100.25686129604246,0.2568612960424588,0.25686129604245433,17,100.0,0.0,0.0,-0.5738846551438294
MASK/USDT:USDT,500,100.25681541484414,0.25681541484414083,0.25681541484414705,25,100.0,0.0,0.0,-1.3046506959958606
ACT/USDC:USDC,500,100.25608823966404,0.25608823966403804,0.2560882396640318,33,100.0,0.0,0.0,-4.2446895687811415
DOOD/USDT:USDT,500,100.25557675088956,0.2555767508895599,0.25557675088956344,32,100.0,0.0,0.0,-2.4724317376542753
STX/USDT:USDT,500,100.2541653117495,0.2541653117495031,0.2541653117495102,34,100.0,0.0,0.0,-1.1215142027903025
AGLD/USDT:USDT,500,100.25390349830576,0.2539034983057604,0.2539034983057631,28,100.0,0.0,0.0,-1.3133946776208292
ANIME/USDT:USDT,500,100.25383135974845,0.25383135974844606,0.2538313597484354,35,100.0,0.0,0.0,-1.6268376006079153
SOLV/USDT:USDT,500,100.25140053286897,0.25140053286897057,0.2514005328689617,31,100.0,0.0,0.0,-1.1314599748285
ZETA/USDT:USDT,500,100.25062312889362,0.25062312889362204,0.25062312889361227,31,100.0,0.0,0.0,-1.307158056278671
A/USDT:USDT,500,100.24991355255987,0.24991355255987457,0.24991355255987724,30,100.0,0.0,0.0,-1.239156102658574
CATI/USDC:USDC,500,100.2496334940787,0.24963349407869373,0.24963349407869373,32,100.0,0.0,0.0,-2.6999379235281835
BAT/USDT:USDT,500,100.24942165267541,0.24942165267540872,0.24942165267540783,26,100.0,0.0,0.0,-2.259156077339699
MTL/USDT:USDT,500,100.24877821240135,0.2487782124013478,0.248778212401346,19,100.0,0.0,0.0,-1.5770793030906005
STX/USDC:USDC,500,100.24739002298213,0.24739002298213109,0.2473900229821302,32,100.0,0.0,0.0,-1.1561845572684826
SAND/USDT:USDT,500,100.24521007560226,0.24521007560225883,0.2452100756022535,34,100.0,0.0,0.0,-1.6375225243122558
VANA/USDC:USDC,500,100.24086914683159,0.2408691468315851,0.24086914683159044,23,100.0,0.0,0.0,-2.151090116615596
ARK/USDT:USDT,500,100.24022434552332,0.24022434552331617,0.24022434552330996,27,100.0,0.0,0.0,-1.3260610737308993
ANKR/USDT:USDT,500,100.23960021867198,0.23960021867198122,0.2396002186719759,29,100.0,0.0,0.0,-1.6120548585373335
APE/USDT:USDT,500,100.23843616720877,0.23843616720877492,0.23843616720877758,33,100.0,0.0,0.0,-1.7870981956613636
FXS/USDT:USDT,500,100.23808476767339,0.23808476767338504,0.2380847676733744,31,100.0,0.0,0.0,-1.1718881621506896
ME/USDT:USDT,500,100.23658096431883,0.2365809643188328,0.23658096431882214,23,100.0,0.0,0.0,-1.4912485218986065
OXT/USDT:USDT,500,100.23655638757808,0.2365563875780765,0.23655638757806852,29,100.0,0.0,0.0,-1.59468320637937
ROAM/USDT:USDT,500,100.23620542864799,0.23620542864799177,0.23620542864799532,25,100.0,0.0,0.0,-3.7905116887736763
ME/USDC:USDC,500,100.23575554514495,0.23575554514495423,0.23575554514494446,23,100.0,0.0,0.0,-1.4918070796090688
COS/USDT:USDT,500,100.23448366280275,0.23448366280274513,0.23448366280274247,26,100.0,0.0,0.0,-1.272854317941074
FIL/USDC:USDC,500,100.23422970648073,0.2342297064807326,0.23422970648072639,32,100.0,0.0,0.0,-1.2918826641398544
